source_family_id,source_family_name,status,admission_gate_result,priority,phase_boundary_note,canonical_entities,output_bundles,minimum_fields_expected,first_stop_references,restrictive_utility,value_marginal_to_prior,provenance_stability,risk_of_overread,human_curation_required,ai_assist_scope,automate_later,notes
geography_climate,Geography and Climate,admit_now,pass,high,"Admissible in Phase 1 as contextual restriction only; not site behavior evidence","Facility;ClimateContext","candidate_archetype_bundle;climate_energy_context_bundle;facility_prior","climate_zone_code;weather_period;hdd_annual;cdd_annual;avg_temp;source_version_id","NOAA / NCEI|official degree-day references","Constrains climate comparability and seasonal demand plausibility",high,stable,medium,yes,"metadata extraction|field normalization|provenance capture|duplicate detection",yes,"Use one canonical climate path first; redundant climate repositories are blocked unless they add clear marginal value"
sector_typology_benchmarks,Sector and Typology Benchmarks,admit_now,pass_with_caution,high,"Admissible only as comparable benchmark context; never as local evidence","Facility;SectorArchetype;BenchmarkContext","candidate_archetype_bundle;benchmark_bundle;prior_assumptions_pack;facility_prior","sector_code;facility_type;benchmark_metric;metric_unit;percentile_mid;source_version_id","EIA CBECS|EIA MECS","Constrains plausible ranges, archetype candidates, and end-use structure",high,stable,high,yes,"schema mapping|metric normalization|methodology notes|duplicate benchmark detection",yes,"Benchmark is not local evidence; high risk of overread if phrased as diagnosis"
jurisdiction_regulation_first_order,First-Order Jurisdiction and Regulation,admit_now,pass_with_caution,high,"Admissible only for first-order applicability and flags; not final compliance","Jurisdiction;RegulatoryContext","jurisdiction_bundle;regulatory_flag_bundle;facility_prior","jurisdiction_id;rule_family;rule_name;applicability_condition;threshold_value;source_version_id","official city/state/national regulatory sources","Constrains thresholds, reporting relevance, and first-order obligations",high,moderately_stable,high,yes,"source triage|threshold extraction support|flag normalization|boundary-note drafting",partial,"Do not evolve into legalistic compliance engine in MVP"
regional_energy_emissions,Regional Energy Context and Emissions,admit_now,pass,high,"Admissible as regional context only; not verified site tariff or metered emissions","Jurisdiction;EnergyContext","climate_energy_context_bundle;benchmark_bundle;facility_prior","grid_region;electricity_emission_factor;fuel_emission_factor_set;regional_energy_price_band;fuel_availability_tags;source_version_id","EPA eGRID|EPA GHG Emission Factors Hub|EIA energy prices","Constrains energy vector plausibility, emissions context, and regional cost band",high,stable,medium,yes,"factor normalization|region mapping|provenance capture",yes,"Regional context only; do not infer actual site bill structure from this layer"
technical_structural_libraries,Technical Structural Libraries,admit_now,pass_with_caution,high,"Admissible as system/practice heuristics and structural priors; not causal proof","SectorArchetype;SystemAsset;OperationalPractice","candidate_archetype_bundle;benchmark_bundle;prior_assumptions_pack;facility_prior","system_family;practice_family;applicability_conditions;typical_end_use_profile;methodological_boundary_note;source_version_id","AChEE|DOE / LBNL|public technical guides","Constrains plausible systems, repeatable practices, missing-input implications",high,moderately_stable,medium,yes,"summarization|taxonomy normalization|system/practice mapping|provenance notes",partial,"Use only as structured heuristics; never upgrade to site fact without additional support"
municipal_disclosure_datasets,Municipal Disclosure Datasets,admit_later,defer,medium,"Can refine later local comparability after benchmark core is stable; not required for MVP","Facility;Jurisdiction;BenchmarkContext","benchmark_bundle;jurisdiction_bundle","jurisdiction_id;facility_type;reported_metric;reporting_year;size_proxy;source_version_id","public city benchmarking portals","May improve local comparability in selected jurisdictions",medium,moderately_stable,high,yes,"metadata extraction|deduplication|schema comparison",yes,"Do not ingest before CBECS/MECS core is stable"
public_operational_proxies,Public Operational Proxies,admit_later,defer,medium,"Admissible only as explicit assumptions and uncertainty-aware proxies; never as site facts","OperationalPractice;OrganizationCapability","prior_assumptions_pack;uncertainty_markers;facility_prior","proxy_family;proxy_basis;affected_system_family;assumption_note;uncertainty_note;source_version_id","bounded public proxy studies","Can refine plausible practice/actionability hypotheses",medium,volatile,high,yes,"extraction|mapping|caution-flag generation",partial,"Only admissible as explicit assumptions, never as site facts"
public_case_studies,Public Case Studies,admit_later,defer,medium,"May inform language and bounded priors later; cannot act as benchmark or causal proof","SectorArchetype;OperationalPractice","prior_assumptions_pack;uncertainty_markers","case_type;sector_code;system_family;intervention_family;method_note;source_version_id","public case repositories|official technical programs","Low-to-medium contextual support only",low,volatile,high,yes,"summarization|tagging|duplication detection",no,"Useful only when tightly bounded; high narrative overread risk"
exhaustive_utility_tariffs,Exhaustive Utility Tariffs,research_only,not_required_for_mvp,low,"Outside MVP boundary; may belong to later refinement, not core prior generation","EnergyContext;ImprovementConstraint",none,"jurisdiction_id;rate_class;tariff_name;demand_charge_flag;time_of_use_flag;source_version_id","official utility tariff books","Potential later granularity for energy context",low,volatile,high,yes,"classification only",no,"Complexity cost too high for Phase 1 MVP"
detailed_carbon_market_integration,Detailed Carbon Market Integration,research_only,not_required_for_mvp,low,"Outside MVP; not needed to build first facility_prior",none,none,"jurisdiction_scope;market_type;factor_reference;coverage_scope;release_date;source_version_id","public market references","Minimal contribution to first prior",low,volatile,medium,yes,"summarization only",no,"Keep outside MVP unless later phase justifies it"
resilience_extreme_scenarios,Resilience and Extreme Scenarios,research_only,not_required_for_mvp,low,"Outside MVP; not needed for first energy/regulatory prior",none,none,"jurisdiction_scope;hazard_type;scenario_family;time_horizon;method_note;source_version_id","public resilience references","Minimal for first prior; may matter later",low,volatile,medium,yes,"summarization only",no,"Do not let resilience concerns expand Phase 1 scope prematurely"
commercial_whitepapers,Commercial Whitepapers,blocked,fail,none,"Not admissible as epistemic core support in Phase 1",none,none,"publisher;document_type;coverage_scope;release_date;method_note;source_version_id",n/a,"Weak core utility; often prestige- or marketing-driven",low,volatile,very_high,no,"optional red-flag detection only",no,"At most useful for taxonomy or market language under strict control; never as core support"
uncontrolled_regulatory_scraping,Uncontrolled Regulatory Scraping,blocked,fail,none,"Violates bounded first-order regulation policy; creates uncontrolled scope and interpretive fragility",none,none,"source_url;rule_name;jurisdiction_scope;retrieval_date;parser_status;source_version_id",n/a,"Creates source sprawl faster than governed mapping",low,volatile,very_high,no,"optional red-flag detection only",no,"Explicitly blocked"
vector_db_as_core,Vector DB as Core Source Layer,blocked,fail,none,"Infrastructure pattern, not an admitted source family; outside MVP need",none,none,"component_name;intended_role;dependency_scope;retrieval_mode;risk_note;source_version_id",n/a,"No direct restrictive utility to first prior",low,volatile,high,no,none,no,"Explicit anti-sprawl block"
