question_or_field,source_checked,search_path_or_query,result,why_not_accepted_if_rejected,next_best_action
location,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for location.,Seek a stronger primary source or leave the field explicitly unresolved.
facility_type,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for facility_type.,Seek a stronger primary source or leave the field explicitly unresolved.
sector_subsector,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for sector_subsector.,Seek a stronger primary source or leave the field explicitly unresolved.
primary_use,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for primary_use.,Seek a stronger primary source or leave the field explicitly unresolved.
approximate_size,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for approximate_size.,"Search county assessor, property records, or facility brochures for size proxy."
vintage_or_age_proxy,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for vintage_or_age_proxy.,"Search build/opening records, property listings, or news archives for opening date."
operating_schedule_proxy,not_publicly_found,"""ABM Industries Incorporated"" jobs site:abm.com || ""ABM Industries Incorporated"" jobs shift operations",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for operating_schedule_proxy.,Search site-specific job postings or operations pages for shift language.
primary_energy_or_fuel,https://www.eia.gov/consumption/commercial/data/2018/index.php?view=consumption,"""facility services"" EPA power profiler official || ""ABM Industries Incorporated"" backup power generator facility",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for primary_energy_or_fuel.,Map ZIP/state to the exact EPA/EIA region and extract official regional factors.
known_main_systems,not_publicly_found,"""ABM Industries Incorporated"" backup power generator facility",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for known_main_systems.,"Look for direct site language, job postings, or technical pages naming the specific system."
primary_concern_driver,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for primary_concern_driver.,Seek a stronger primary source or leave the field explicitly unresolved.
jurisdiction_context:country,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:country.,Seek a stronger primary source or leave the field explicitly unresolved.
jurisdiction_context:state,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:state.,Seek a stronger primary source or leave the field explicitly unresolved.
jurisdiction_context:city,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:city.,Seek a stronger primary source or leave the field explicitly unresolved.
jurisdiction_context:zip_postal,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:zip_postal.,Seek a stronger primary source or leave the field explicitly unresolved.
jurisdiction_context:local_benchmarking_relevance,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:local_benchmarking_relevance.,Confirm trigger fields such as size and property type against official ordinance thresholds.
climate_context:climate_zone,http://ncei.noaa.gov/,"""facility services"" climate normals official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:climate_zone.,Map the facility to a specific NOAA station and extract exact normals.
climate_context:hdd_annual,http://ncei.noaa.gov/,"""facility services"" climate normals official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:hdd_annual.,Map the facility to a specific NOAA station and extract exact normals.
climate_context:cdd_annual,http://ncei.noaa.gov/,"""facility services"" climate normals official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:cdd_annual.,Map the facility to a specific NOAA station and extract exact normals.
climate_context:avg_temperature,http://ncei.noaa.gov/,"""facility services"" climate normals official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:avg_temperature.,Map the facility to a specific NOAA station and extract exact normals.
energy_context:grid_region,https://www.epa.gov/egrid,"""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for energy_context:grid_region.,Map ZIP/state to the exact EPA/EIA region and extract official regional factors.
energy_context:electricity_emissions_context,https://www.epa.gov/egrid,"""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for energy_context:electricity_emissions_context.,Map ZIP/state to the exact EPA/EIA region and extract official regional factors.
energy_context:grid_mix_summary,https://www.epa.gov/egrid,"""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for energy_context:grid_mix_summary.,Map ZIP/state to the exact EPA/EIA region and extract official regional factors.
benchmark_context:comparable_archetype,https://www.eia.gov/consumption/commercial/data/2018/index.php?view=consumption,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",assumption_required,A generic benchmark family placeholder is kept only to preserve packet structure.,Seek a stronger primary source or leave the field explicitly unresolved.
systems_context:publicly_confirmed_systems,not_publicly_found,"""ABM Industries Incorporated"" backup power generator facility",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for systems_context:publicly_confirmed_systems.,"Look for direct site language, job postings, or technical pages naming the specific system."
systems_context:archetype_plausible_systems,not_publicly_found,"""ABM Industries Incorporated"" backup power generator facility",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for systems_context:archetype_plausible_systems.,"Look for direct site language, job postings, or technical pages naming the specific system."
systems_context:unknown_systems,not_publicly_found,"""ABM Industries Incorporated"" backup power generator facility",assumption_required,This row preserves visible uncertainty rather than inventing a system stack.,"Look for direct site language, job postings, or technical pages naming the specific system."
operational_practice_context:shift_signals,not_publicly_found,"""ABM Industries Incorporated"" jobs site:abm.com || ""ABM Industries Incorporated"" jobs shift operations",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for operational_practice_context:shift_signals.,Search site-specific job postings or operations pages for shift language.
organization_capability_context:operations_team_visible,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for organization_capability_context:operations_team_visible.,Seek a stronger primary source or leave the field explicitly unresolved.
improvement_constraint_context:uptime_criticality,not_publicly_found,"""ABM Industries Incorporated"" sustainability report site:abm.com || ""facility services"" climate normals official || ""facility services"" EPA power profiler official",not_publicly_found,Public evidence gathered so far did not support a reliable Phase 1 value for improvement_constraint_context:uptime_criticality.,Seek a stronger primary source or leave the field explicitly unresolved.
