context_family,variable_name,variable_value,value_status,source_type,source_reference,confidence_note,admissibility_note,note
jurisdiction_context,country,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,Awaiting facility-linked official location evidence.,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:country.
jurisdiction_context,state,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,Awaiting facility-linked official location evidence.,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:state.
jurisdiction_context,city,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,Awaiting facility-linked official location evidence.,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:city.
jurisdiction_context,zip_postal,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,Awaiting facility-linked official location evidence.,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:zip_postal.
jurisdiction_context,local_benchmarking_relevance,,not_publicly_found,search_path_regulation,not_publicly_found,low,Local applicability cannot be closed until the facility geography is directly anchored.,Public evidence gathered so far did not support a reliable Phase 1 value for jurisdiction_context:local_benchmarking_relevance.
climate_context,climate_zone,,not_publicly_found,official_climate_dataset,https://www.ncei.noaa.gov/cdo-web/search?datasetid=NORMAL_MLY,low,Climate context requires a facility-linked geography anchor.,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:climate_zone.
climate_context,hdd_annual,,not_publicly_found,official_climate_dataset,https://www.ncei.noaa.gov/cdo-web/search?datasetid=NORMAL_MLY,low,HDD extraction requires a facility-linked official geography anchor.,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:hdd_annual.
climate_context,cdd_annual,,not_publicly_found,official_climate_dataset,https://www.ncei.noaa.gov/cdo-web/search?datasetid=NORMAL_MLY,low,CDD extraction requires a facility-linked official geography anchor.,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:cdd_annual.
climate_context,avg_temperature,,not_publicly_found,official_climate_dataset,https://www.ncei.noaa.gov/cdo-web/search?datasetid=NORMAL_MLY,low,Average temperature extraction requires a facility-linked official geography anchor.,Public evidence gathered so far did not support a reliable Phase 1 value for climate_context:avg_temperature.
energy_context,grid_region,,not_publicly_found,official_energy_dataset,https://www.epa.gov/egrid,low,Grid-region mapping requires a facility-linked geography anchor.,Public evidence gathered so far did not support a reliable Phase 1 value for energy_context:grid_region.
energy_context,electricity_emissions_context,,not_publicly_found,official_energy_dataset,https://www.epa.gov/egrid,low,Emissions context requires an anchored grid region or service territory.,Public evidence gathered so far did not support a reliable Phase 1 value for energy_context:electricity_emissions_context.
energy_context,grid_mix_summary,,not_publicly_found,official_energy_dataset,https://www.epa.gov/egrid,low,Grid-mix summary requires an anchored grid region or state mapping.,Public evidence gathered so far did not support a reliable Phase 1 value for energy_context:grid_mix_summary.
benchmark_context,comparable_archetype,commercial or industrial facility archetype pending stronger facility typing,assumption_required,official_public_dataset,https://www.eia.gov/consumption/commercial/pba/food-service.php,low,Benchmark context remains provisional until facility type is directly anchored.,A generic benchmark family placeholder is kept only to preserve packet structure.
systems_context,publicly_confirmed_systems,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,No direct facility system list was found in accepted sources.,Public evidence gathered so far did not support a reliable Phase 1 value for systems_context:publicly_confirmed_systems.
systems_context,archetype_plausible_systems,,not_publicly_found,search_path_benchmark,not_publicly_found,low,No bounded archetype system mapping was strong enough to keep without facility typing.,Public evidence gathered so far did not support a reliable Phase 1 value for systems_context:archetype_plausible_systems.
systems_context,unknown_systems,all major system layers remain unresolved from current public evidence,assumption_required,research_protocol,not_publicly_found,low,Unknown systems remain explicit until direct or archetype support improves.,This row preserves visible uncertainty rather than inventing a system stack.
operational_practice_context,shift_signals,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,No site-linked operating schedule signal cleared the hardened gate.,Public evidence gathered so far did not support a reliable Phase 1 value for operational_practice_context:shift_signals.
organization_capability_context,operations_team_visible,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,No accepted source directly exposed site-level operations staffing.,Public evidence gathered so far did not support a reliable Phase 1 value for organization_capability_context:operations_team_visible.
improvement_constraint_context,uptime_criticality,,not_publicly_found,search_path_identity_asset,not_publicly_found,low,Constraint context remains unresolved until facility use is better anchored.,Public evidence gathered so far did not support a reliable Phase 1 value for improvement_constraint_context:uptime_criticality.
