title,url,query_used,source_family,source_category,source_tier,source_decision,decision_reason,source_trust_level,target_relevance,is_new_source
Power Profiler Methodology | US EPA,https://www.epa.gov/egrid/power-profiler-methodology,"""facility services"" EPA power profiler official",energy_emissions,official_energy,tier1_primary,accepted_source,Tier 1 primary or official source with sufficient target relevance.,high,28,True
Power Profiler Methodology | US EPA,https://19january2021snapshot.epa.gov/egrid/power-profiler-methodology_.html,"""facility services"" EPA power profiler official",energy_emissions,official_energy,tier1_primary,accepted_source,Tier 1 primary or official source with sufficient target relevance.,high,28,True
Measure the Impact of Your Energy Use on the Environment | US EPA,https://www.epa.gov/energy/measure-impact-your-energy-use-environment,"""facility services"" EPA power profiler official",energy_emissions,official_energy,tier1_primary,accepted_source,Tier 1 primary or official source with sufficient target relevance.,high,28,True
FY 2000-2005 Strategic Plan - epa nepis,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=400008P9.TXT,"""facility services"" EPA power profiler official",energy_emissions,official_energy,tier1_primary,accepted_source,Tier 1 primary or official source with sufficient target relevance.,high,11,True
Solar Photovoltaic System Cost Benchmarks - Department of Energy,https://www.energy.gov/eere/solar/solar-photovoltaic-system-cost-benchmarks,"""facility services"" energy benchmark official",benchmark_archetype,official_energy,tier1_primary,accepted_source,Tier 1 primary or official source with sufficient target relevance.,high,6,True
Facility Engineering: Innovations for Modern Facilities,https://ccsbts.com/facility-engineering-innovations-for-modern-facilities/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,38,True
What Is PUE (Power Usage Effectiveness) and What Does It Measure?,https://www.vertiv.com/en-us/about/news-and-insights/articles/educational-articles/what-is-pue-power-usage-effectiveness-and-what-does-it-measure/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,33,True
Modo Energy | Energy Storage News & Analytics,https://modoenergy.com/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,28,True
ABM Team Member Resources,https://www.abm.com/team-members,"""ABM Industries Incorporated"" facility shift schedule",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,20,True
ABM: Building Maintenance and Facility Services,https://www.abm.com/,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,20,True
Data Centers Facility Services - ABM,https://www.abm.com/industries/data-centers,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,20,True
New York ABM Office Headquarters,https://locations.abm.com/ny/newyork/facility-services-new-york-ny-1411.html,"""ABM Industries Incorporated"" jobs shift operations",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,20,True
ABM Careers | Facility Service Jobs Nationwide,https://www.abm.com/careers,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,15,True
